iter	Logloss
0	0.675903274
1	0.6617702603
2	0.6507457673
3	0.6367839365
4	0.628621015
5	0.6207093576
6	0.6148757078
7	0.6067838087
8	0.6024377363
9	0.5982426707
10	0.5925036502
11	0.5891134791
12	0.5850119387
13	0.5824601696
14	0.5804247741
15	0.5766775024
16	0.5750260427
17	0.5735267069
18	0.5724853869
19	0.5713239766
20	0.5704815754
21	0.5695692358
22	0.5688949932
23	0.5673688988
24	0.5665191986
25	0.5658708337
26	0.5652619054
27	0.5648288602
28	0.5633244206
29	0.5629214125
30	0.5624812724
31	0.5621674115
32	0.5617379184
33	0.5614953719
34	0.561244915
35	0.5608889793
36	0.560253865
37	0.5599532665
38	0.5596572811
39	0.5594721995
40	0.5592865608
41	0.5591422852
42	0.558984663
43	0.558562437
44	0.5584375749
45	0.5582081531
46	0.557934262
47	0.5577523925
48	0.5576214679
49	0.557384726
50	0.5572018244
51	0.5570967284
52	0.5569781805
53	0.5568292893
54	0.5567467235
55	0.5566471657
56	0.5565236561
57	0.5558603962
58	0.55562596
59	0.5555273147
60	0.5553895235
61	0.5552975613
62	0.5552025064
63	0.5550856964
64	0.5549554722
65	0.5548662572
66	0.5547189338
67	0.5545665673
68	0.5544390966
69	0.5539206582
70	0.5537621088
71	0.5536587077
72	0.5535652
73	0.5534570473
74	0.5533855887
75	0.5533032117
76	0.5532318473
77	0.5531451371
78	0.5529777024
79	0.5526604324
80	0.5525641936
81	0.5524714513
82	0.552404152
83	0.5523281318
84	0.5522724774
85	0.5522176791
86	0.5521623327
87	0.5521118843
88	0.5520447906
89	0.551991236
90	0.5518869874
91	0.5518040543
92	0.5517136228
93	0.5516482618
94	0.5515969359
95	0.551536943
96	0.5514528742
97	0.5514117632
98	0.5513733887
99	0.5513031172
100	0.5512647449
101	0.5512104831
102	0.5511716731
103	0.5511027922
104	0.5509613028
105	0.5508868207
106	0.5507903081
107	0.5507547687
108	0.5507246487
109	0.5506537731
110	0.5506014577
111	0.5505442544
112	0.5504810038
113	0.5504410009
114	0.5503997439
115	0.5503534116
116	0.5503028838
117	0.5502914676
118	0.550220815
119	0.5501907778
120	0.5501262994
121	0.5500737625
122	0.5500268338
123	0.5499728126
124	0.5497930265
125	0.5497551302
126	0.5497008247
127	0.5496591691
128	0.5496310525
129	0.5495930902
130	0.5495389439
131	0.5494806847
132	0.5494327549
133	0.5493616918
134	0.5493279749
135	0.5492557968
136	0.5492231421
137	0.549193803
138	0.5491411453
139	0.5490852247
140	0.5490414752
141	0.5489940974
142	0.5489347794
143	0.5488682147
144	0.548841091
145	0.5486901798
146	0.5486314954
147	0.5485771348
148	0.548514594
149	0.5484694655
150	0.5484374586
151	0.5483851812
152	0.5483096793
153	0.5482486684
154	0.5481983442
155	0.5481541459
156	0.5481133177
157	0.5480760556
158	0.5480425779
159	0.5479969584
160	0.5479434546
161	0.5478898835
162	0.5478155633
163	0.5477415767
164	0.5476114905
165	0.5475793696
166	0.5475022222
167	0.5474471216
168	0.5474187096
169	0.5473746864
170	0.5473277875
171	0.5472762816
172	0.5472191992
173	0.5471778629
174	0.5470889514
175	0.547053581
176	0.5470117864
177	0.5469649233
178	0.5469152884
179	0.5468823246
180	0.5468521055
181	0.5468218433
182	0.546771598
183	0.5467314042
184	0.5466692069
185	0.5466395299
186	0.5466005861
187	0.5465653717
188	0.5465142886
189	0.5464555979
190	0.5464256233
191	0.5463842355
192	0.5463269241
193	0.546275624
194	0.5462419328
195	0.5461940386
196	0.5461482707
197	0.5461073885
198	0.5460396088
199	0.5460007591
200	0.5459578633
201	0.5459297026
202	0.5458844153
203	0.5458295258
204	0.5457849954
205	0.5456971059
206	0.5456598946
207	0.5456134132
208	0.5455708193
209	0.5455153231
210	0.5454698233
211	0.54542176
212	0.5453952913
213	0.5453536855
214	0.5453117215
215	0.5452672332
216	0.5452045736
217	0.5451723253
218	0.5451386617
219	0.5451048123
220	0.5450670936
221	0.5450206774
222	0.5449773426
223	0.544930685
224	0.544906439
225	0.5448713456
226	0.544816156
227	0.5447864133
228	0.5447442658
229	0.5447127816
230	0.5446767014
231	0.5446075098
232	0.5445718634
233	0.5445247302
234	0.5445039675
235	0.5444317816
236	0.5444029212
237	0.5443531388
238	0.5443107076
239	0.5442878185
240	0.5442471044
241	0.5442129474
242	0.5441822238
243	0.5441410495
244	0.5440919938
245	0.5440482536
246	0.5440081612
247	0.5439623094
248	0.5439113733
249	0.543865211
250	0.5438134324
251	0.5437773065
252	0.5437160754
253	0.5436901685
254	0.5436624899
255	0.5436259922
256	0.5435912963
257	0.5435568553
258	0.5435218526
259	0.5434841875
260	0.5434522218
261	0.5434141454
262	0.5433767796
263	0.5433490362
264	0.543286733
265	0.5432444583
266	0.5432099554
267	0.5431857022
268	0.5431551188
269	0.5431114501
270	0.5430716169
271	0.5430114337
272	0.5429682698
273	0.5429259222
274	0.5428801278
275	0.5428367885
276	0.5428122025
277	0.5427769439
278	0.5427418465
279	0.5427068277
280	0.5426776244
281	0.5426513969
282	0.5426178885
283	0.542591836
284	0.5425462493
285	0.5425031673
286	0.5424648277
287	0.5424323229
288	0.542394684
289	0.5423695262
290	0.5423274202
291	0.5423012554
292	0.5422636272
293	0.5422337011
294	0.542210963
295	0.5421683628
296	0.5421276294
297	0.5420808787
298	0.5420479073
299	0.5420230431
300	0.5419818754
301	0.5419498492
302	0.5419234633
303	0.5418907923
304	0.5418440606
305	0.5418041429
306	0.5417641809
307	0.5417301898
308	0.54170073
309	0.5416631805
310	0.5416337299
311	0.54160444
312	0.5415733327
313	0.5415450658
314	0.5415097494
315	0.5414751483
316	0.5414279558
317	0.541395742
318	0.5413568182
319	0.5413127273
320	0.5412550758
321	0.5412267055
322	0.5412040275
323	0.541182513
324	0.5410807687
325	0.5410441902
326	0.5410150949
327	0.5409840326
328	0.5409505512
329	0.5409086789
330	0.540870489
331	0.5408394252
332	0.5408147897
333	0.5407838342
334	0.5407529426
335	0.5407202515
336	0.5406801694
337	0.540652457
338	0.5406198687
339	0.5405839901
340	0.5405472676
341	0.5405198891
342	0.5404900332
343	0.5404562051
344	0.5404295974
345	0.5403980638
346	0.5403672089
347	0.5403368476
348	0.5403117126
349	0.5402740902
350	0.5402268844
351	0.5401990944
352	0.5401594151
353	0.5401243069
354	0.5400979801
355	0.5400687113
356	0.5400424127
357	0.5400272343
358	0.5399994152
359	0.5399666967
360	0.539936771
361	0.5398953615
362	0.5398673593
363	0.5398320611
364	0.5398069247
365	0.5397750472
366	0.539731108
367	0.5397058144
368	0.5396716893
369	0.5396445246
370	0.5396049091
371	0.5395730202
372	0.5395448866
373	0.5395067425
374	0.5394769102
375	0.539443746
376	0.5394201127
377	0.5393830654
378	0.539344219
379	0.5393138855
380	0.5392816752
381	0.5392518551
382	0.5392305119
383	0.5392129545
384	0.5391896138
385	0.539150954
386	0.5391185705
387	0.5390861995
388	0.5390493025
389	0.5390298554
390	0.538996354
391	0.5389708445
392	0.5389368793
393	0.538909931
394	0.5388828729
395	0.5388571478
396	0.5388277074
397	0.5388049314
398	0.5387817253
399	0.5387435488
400	0.5387106724
401	0.5386799588
402	0.5386439987
403	0.5386184824
404	0.5385876622
405	0.5385558172
406	0.5385270734
407	0.5384837223
408	0.5384522776
409	0.5384314676
410	0.5384085344
411	0.5383781926
412	0.5383638946
413	0.5383287309
414	0.5382993391
415	0.5382805067
416	0.5382472078
417	0.5382192391
418	0.538185131
419	0.5381587196
420	0.5381241432
421	0.5380905355
422	0.5380577106
423	0.5380076656
424	0.5379698029
425	0.5379402639
426	0.5379165442
427	0.5378924078
428	0.5378611145
429	0.5378389185
430	0.5378049215
431	0.5377833942
432	0.5377546147
433	0.5377132087
434	0.5376793995
435	0.5376385615
436	0.5376175062
437	0.5375984393
438	0.537562824
439	0.537525519
440	0.5374929438
441	0.5374599022
442	0.5374178988
443	0.5373956034
444	0.5373681335
445	0.537339147
446	0.537307866
