iter	Passed	Remaining
405	7505	10981
406	7521	10958
407	7538	10937
408	7554	10915
409	7570	10893
410	7586	10872
411	7602	10850
412	7617	10827
413	7634	10805
414	7653	10788
415	7670	10768
416	7687	10747
417	7705	10728
418	7720	10705
419	7737	10685
420	7751	10660
421	7764	10635
422	7781	10615
423	7797	10592
424	7813	10571
425	7831	10551
426	7849	10533
427	7865	10511
428	7879	10488
429	7896	10466
430	7911	10445
431	7927	10423
432	7944	10403
433	7961	10383
434	7979	10364
435	7996	10343
436	8012	10322
437	8031	10305
438	8048	10284
439	8062	10261
440	8079	10241
441	8095	10220
442	8113	10200
443	8129	10179
444	8145	10159
445	8162	10139
446	8180	10120
447	8197	10099
448	8215	10082
449	8233	10063
450	8251	10044
451	8269	10025
452	8285	10004
453	8301	9984
454	8317	9963
455	8336	9944
456	8353	9925
457	8370	9905
458	8390	9889
459	8408	9870
460	8426	9852
461	8443	9832
462	8461	9814
463	8478	9793
464	8498	9777
465	8517	9760
466	8535	9742
467	8553	9723
468	8577	9710
469	8598	9696
470	8617	9678
471	8635	9660
472	8653	9641
473	8670	9621
474	8691	9605
475	8707	9585
476	8726	9567
477	8743	9548
478	8766	9535
479	8781	9513
480	8797	9492
481	8813	9471
482	8830	9452
483	8847	9432
484	8864	9413
485	8885	9396
486	8903	9379
487	8923	9361
488	8943	9346
489	8963	9329
490	8980	9309
491	9002	9294
492	9020	9276
493	9038	9258
494	9054	9237
495	9070	9216
496	9085	9195
497	9102	9175
498	9119	9156
499	9140	9140
500	9156	9119
501	9173	9100
502	9189	9079
503	9206	9060
504	9222	9039
505	9240	9021
506	9256	9000
507	9274	8982
508	9291	8963
509	9307	8942
510	9326	8925
511	9343	8905
512	9359	8885
513	9375	8864
514	9391	8844
515	9407	8824
516	9424	8804
517	9440	8784
518	9456	8764
519	9473	8744
520	9490	8725
521	9510	8708
522	9526	8688
523	9543	8669
524	9559	8648
525	9575	8629
526	9593	8610
527	9609	8590
528	9627	8571
529	9645	8553
530	9662	8534
531	9678	8514
532	9699	8498
533	9716	8479
534	9734	8461
535	9752	8442
536	9770	8423
537	9788	8405
538	9804	8386
539	9822	8367
540	9840	8348
541	9857	8329
542	9876	8312
543	9894	8294
544	9912	8275
545	9929	8256
546	9946	8237
547	9963	8218
548	9982	8200
549	10002	8183
